,Provincia,Partido,Localidad,ADSL,Cablemódem,Dial Up,Fibra óptica,4G,3G,Telefonía Fija,Wireless,Satelital
2512,CORDOBA,Río Seco,Villa de María,--,SI,--,--,SI,SI,SI,SI,--
2513,CORDOBA,Río Segundo,Calchín,--,SI,--,--,SI,SI,SI,--,--
2514,CORDOBA,Río Segundo,Calchín Oeste,--,--,--,--,SI,SI,SI,--,--
2515,CORDOBA,Río Segundo,Capilla del Carmen,--,SI,--,--,SI,--,SI,SI,--
2516,CORDOBA,Río Segundo,Carrilobo,--,SI,--,--,SI,SI,SI,SI,SI
2517,CORDOBA,Río Segundo,Colazo,--,--,--,SI,SI,SI,SI,--,SI
2518,CORDOBA,Río Segundo,Colonia Videla,--,--,--,--,--,--,--,--,--
2519,ENTRE RIOS,Concordia,Colonia Ayuí,--,--,--,--,SI,SI,SI,--,--
2520,ENTRE RIOS,Concordia,Colonia General Roca,--,--,--,--,--,--,--,--,--
2521,ENTRE RIOS,Concordia,Colonia Yeruá,--,--,--,--,--,--,--,--,--
2522,ENTRE RIOS,Concordia,Concordia,SI,SI,--,SI,SI,SI,SI,SI,SI
2523,ENTRE RIOS,Concordia,El Redomón,--,--,--,--,--,--,--,--,--
2524,ENTRE RIOS,Concordia,Estación Yeruá,--,--,--,--,SI,--,SI,--,--
2525,ENTRE RIOS,Concordia,Estación Yuquerí,--,--,--,--,--,--,--,--,--
2526,ENTRE RIOS,Concordia,Estancia Grande,--,--,--,--,SI,--,--,--,--
2527,ENTRE RIOS,Concordia,La Criolla,--,--,--,SI,SI,SI,SI,SI,--
2528,ENTRE RIOS,Concordia,Las Tejas,--,--,--,--,SI,SI,--,--,--
2529,ENTRE RIOS,Concordia,Los Charrúas,--,--,--,--,SI,SI,SI,SI,--
2530,ENTRE RIOS,Concordia,Nueva Escocia,--,--,--,--,SI,--,--,--,--
2531,ENTRE RIOS,Concordia,Osvaldo Magnasco,--,--,--,--,SI,--,SI,--,--
2532,ENTRE RIOS,Concordia,Pedernal,--,--,--,--,SI,--,--,SI,--
2533,ENTRE RIOS,Concordia,Puerto Yeruá,--,--,--,--,SI,--,SI,--,--
2534,ENTRE RIOS,Concordia,Villa Adela,--,--,--,--,SI,SI,--,--,--
